J0209+5759,32.40543,7,57.99592,5,0.939932414,12,-1.23E-14,12,*,0,*,1.743
J0210+5845,32.7308,5,58.7511,3,0.566184699,7,-4.30E-14,7,*,0,*,1.952
J0211+4235,32.777588,9,42.590128,9,2.851188011,3,-9.00E-18,10,*,0,*,2.24
J0211-8159,32.9958,13,-81.99339,9,0.928218366,7,-2.50E-16,18,*,0,*,1.523
J0212+5222,33.21724,3,52.380417,12,2.65684439,10,-4.66E-14,9,*,0,*,1.558
J0214+5222,33.730297,15,52.37804,6,40.6912718,5,-4.95E-16,17,*,0,BT,1.161
J0215+6218,33.98595,4,62.30927,3,1.821892453,9,-2.20E-15,9,3.20E-26,6,*,2.004
J0218+4232,34.52649404,17,42.53815976,3,430.4610545,15,-1.43E-14,13,2.80E-26,88,ELL1,3.15
J0220+3626,35.1755,9,36.44881,6,0.971157,0,*,0,*,0,*,2.24
J0227+3356,36.73775,5,33.941044,20,0.806384982,2,-1.85E-15,7,*,0,*,1.595
J0229+20,37.26,14,20.97,14,1.239311,0,*,0,*,0,*,2.088
J0231+7026,37.80832,12,70.44275,5,0.681746766,3,-1.45E-15,3,1.90E-28,44,*,1.755
J0241+16,40.44,13,16.07,14,0.647082,0,*,0,*,0,*,0.936
J0242+62,40.646,13,62.947,10,1.689189,0,*,0,*,0,*,0.217
J0243+6027,40.75,0,60.45,0,0.678887,0,*,0,*,0,*,2.717
J0244+14,41.21,13,14.45,14,0.469903,0,*,0,*,0,*,2.796
J0248+4230,42.129179,5,42.505692,14,384.4919353,4,-2.49E-15,7,*,0,*,1.853
J0248+6021,42.077571,5,60.359644,3,4.6063,10,-1.17E-12,10,*,0,*,2
J0250+5854,42.57408,13,58.90036,6,0.042489225,19,-4.90E-17,13,*,0,*,1.558
J0251+2606,42.76064,3,26.102769,6,393.4600105,4,-1.17E-15,11,*,0,ELL1,1.17
J0255-5304,43.984552,4,-53.072576,3,2.233596324,10,-1.56E-16,10,*,0,*,1.514
J0301+35,45.25,0,35,0,1.759572,0,*,0,*,0,*,3.1
J0302+2252,45.633292,17,22.87003,6,0.828387282,14,-5.66E-17,7,*,0,*,1.014
J0304+1932,46.13798,7,19.5476,3,0.720676859,14,-6.73E-16,10,-2.45E-27,17,*,0.739
J0305+11,46.27,5,11.38,5,1.159958,0,*,0,*,0,*,1.838
J0307+7443,46.98292,0,74.72028,0,316.8478768,3,-1.73E-15,10,*,0,ELL1,0.386
J0312-0921,48.02583,0,-9.36556,0,269.9539475,17,-1.44E-15,4,*,0,ELL1,0.817
J0317+13,49.48,5,13.48,5,0.506509,0,*,0,*,0,*,0.367
J0318+0253,49.564754,5,2.883744,14,192.6837155,5,-6.54E-16,10,*,0,*,1.328
J0323+3944,50.8610913,5,39.7478897,3,0.329807476,10,-6.91E-17,7,6.70E-29,112,*,0.94
J0324+5239,51.23108,17,52.65869,6,2.970706779,3,-3.36E-15,3,*,0,*,2.29
J0325+6744,51.27133,9,67.74983,4,0.73277318,8,-8.34E-16,5,*,0,*,1.929
J0329+1654,52.28563,13,16.9006,6,1.119420118,13,-2.70E-16,8,*,0,*,2.557
J0332+5434,53.24754,5,54.5787025,3,1.399541539,6,-4.01E-15,14,5.30E-28,15,*,1.68
J0335+4555,53.81934,5,45.9315144,3,3.714702788,17,-1.01E-16,13,-3.70E-28,29,*,2.41
J0335+6623,53.9878,6,66.3899,3,0.567558069,6,-1.55E-15,3,*,0,*,1.907
J0337+1715,54.4326079,6,17.2541189,6,365.9533631,11,-2.37E-15,12,*,0,ELL1,1.3
J0337+79,54.34167,0,79.02889,0,0.486332,15,*,0,*,0,*,1.053
J0340+4130,55.09703317,5,41.51258087,8,303.0909794,15,-6.47E-16,11,*,0,*,1.603
J0341+5711,55.25,0,57.18333,0,0.529661,0,*,0,*,0,*,2.037
J0343+06,55.75,0,6,0,0.992418,0,*,0,*,0,*,3.774
J0343+5312,55.80379,17,53.21484,18,0.5169353,4,-3.59E-15,4,-1.80E-27,6,*,1.705
J0343-3000,55.86642,13,-30.00764,12,0.385055658,14,-8.50E-18,14,*,0,*,1.594
J0344-0901,56.156129,9,-9.01741,3,0.815656978,8,-2.31E-15,10,*,0,*,1.507
J0348+0432,57.18182917,17,4.53651611,6,25.56063655,10,-1.58E-16,7,*,0,ELL1,2.1
J0349+2340,57.48908,17,23.6814,6,0.413091535,7,-1.88E-16,12,*,0,*,3.746
J0355+28,58.75,0,28,0,2.739726,0,*,0,*,0,*,1.789
J0357+3205,59.4688,9,32.0903,17,2.251722292,3,-6.61E-14,10,*,0,*,0.835
J0357+5236,59.4368346,9,52.6159703,3,5.075366708,7,-1.23E-14,6,1.03E-26,12,*,2.9
J0358+4155,59.513228,6,41.921954,6,4.415316459,4,-2.84E-15,3,*,0,*,1.481
