182,B0833-45,J0835-4510,20,56556,X,3100,X,148,1,Buchner(2013) [buc13]; also in Gügercinoğlu+22 [ggyz22]
183,B0833-45,J0835-4510,21,56922,3,0.4,X,0.1,X,Jankowski+2015 [jbb+15]
184,B0833-45,J0835-4510,22,57734.48499,0,1431,X,X,X,Palfreyman+2018; also Basu+2019 [bkj+19]; also in Gügercinoğlu+22 [ggyz22]
185,B0833-45,J0835-4510,23,58515.5929,0.005,2501.2,0.32,8.69,0.28,Kerr (2019) [kerr19]; also in Lower+2020 [lbs+20]; also in Gügercinoğlu+22 [ggyz22]
186,B0833-45,J0835-4510,24,59417.2108,X,1260,X,X,X,Sosa-Fiscella+21 [szp+21]
187,J0834-4159,J0834-4159,1,53415,2,102.7,0.1,0.26,0.04,Yu+2012 [ymh+12]
188,B0844-35,J0846-3533,1,55679,5,0.62,0.04,3,1,Basu+2021 [bsa+21]
189,B0853-33,J0855-3331,1,54521,18,0.06,0.01,0.03,0.01,New - Our measurement
190,J0901-4624,J0901-4624,1,57179,6,0.9,0.1,0.02,0.04,Lower+2021 [ljd+21]
191,J0905-5127,J0905-5127,1,49552,2,13.6,0.4,-1.8,0.9,Yu+2012 [ymh+12]
192,J0905-5127,J0905-5127,2,52931,67,8.3,0.5,1.2,0.1,Yu+2012 [ymh+12]
193,B0919+06,J0922+0638,1,55152,8,1256.2,0.4,0.1,0.9,Basu+2021 [bsa+21]
194,J0940-5428,J0940-5428,1,55346,8,1573.9,1.1,11,2,Lower+2021 [ljd+21]
195,J0940-5428,J0940-5428,2,58322,16,1100.5,0.6,4,0.2,Lower+2021 [ljd+21]
196,J1016-5857,J1016-5857,1,52549,22,1622.6,0.5,3.7,0.1,Yu+2012 [ymh+12]
197,J1016-5857,J1016-5857,2,55041,30,1912,0.4,4.4,0.3,Yu+2012 [ymh+12]
198,J1016-5857,J1016-5857,3,55595,10,1464.4,1.1,4,5,Lower+2021 [ljd+21]
199,J1016-5857,J1016-5857,4,56975,8,6.21,2.35,X,X,Lower+2021 [ljd+21]
200,J1019-5749,J1019-5749,1,55595,10,1.33,0.4,0.12,0.22,Lower+2021 [ljd+21]
201,J1019-5749,J1019-5749,2,55981,10,377.8,0.4,0.51,0.3,Lower+2021 [ljd+21]
202,J1023-5746,J1023-5746,1,55043,8,3570,1,10.62,0.07,Gügercinoğlu+22 [ggyz22]; also in Belfore+2011 [3rd Fermi symp.]
203,J1023-5746,J1023-5746,2,56004,8,2822,4,12.6,0.2,Gügercinoğlu+22 [ggyz22]
204,J1023-5746,J1023-5746,3,56647,8,3306,1,11,0.2,Gügercinoğlu+22 [ggyz22]
205,J1023-5746,J1023-5746,4,57192,8,22,1,-1.74,0.08,Gügercinoğlu+22 [ggyz22]
206,J1023-5746,J1023-5746,5,57727,8,3784.9,0.9,14.82,0.02,Gügercinoğlu+22 [ggyz22]
