Jname,RA_deg,RA_err,dec_deg,dec_err,F0,F0_err,F1,F1_err,F2,F2_err,binary_model,dist,MJD,dF_F,dF1_F1,E_naive,E_mountain,E_superfluid
J1814-1744,273.6796,3.0,-17.747,3.0,0.251515052,1.0,-4.71e-14,2.0,*,0.0,*,5.118,51371.0,8.0,-3.0,1.9979181168942964e+37,,-2.663890822525728e+31
J1814-1744,273.6796,3.0,-17.747,3.0,0.251515052,1.0,-4.71e-14,2.0,*,0.0,*,5.118,51678.0,10.0,5.0,2.4973976461178705e+37,,2.49739764611787e+31
J1814-1744,273.6796,3.0,-17.747,3.0,0.251515052,1.0,-4.71e-14,2.0,*,0.0,*,5.118,52075.0,34.0,-5.0,8.491151996800759e+37,,-2.886991678912258e+32
J1814-1744,273.6796,3.0,-17.747,3.0,0.251515052,1.0,-4.71e-14,2.0,*,0.0,*,5.118,53241.0,3.0,0.7,7.492192938353611e+36,,1.6054699153614884e+31
J1814-1744,273.6796,3.0,-17.747,3.0,0.251515052,1.0,-4.71e-14,2.0,*,0.0,*,5.118,53756.4,11.0,8.0,2.7471374107296575e+37,,1.8886569698766396e+31
J1814-1744,273.6796,3.0,-17.747,3.0,0.251515052,1.0,-4.71e-14,2.0,*,0.0,*,5.118,54768.4,17.0,2.0,4.2455759984003793e+37,,1.8043697993201615e+32
J1814-1744,273.6796,3.0,-17.747,3.0,0.251515052,1.0,-4.71e-14,2.0,*,0.0,*,5.118,55626.0,16.0,0.3,3.9958362337885927e+37,,1.0655563290102915e+33
J1818-1422,274.599025,8.0,-14.37686,5.0,3.43065577,4.0,-2.4e-14,2.0,-4.46e-25,3.0,*,5.44,52057.0,0.54,-0.7,2.5090411454494058e+38,,-9.677730132447707e+31
J1819-1458,274.89239,8.0,-14.96766,8.0,0.234564843,4.0,-3.1e-14,4.0,-1.24e-24,2.0,*,3.301,53925.79,725.0,78.0,1.5747933889217736e+39,,7.318751326719783e+33
J1819-1458,274.89239,8.0,-14.96766,8.0,0.234564843,4.0,-3.1e-14,4.0,-1.24e-24,2.0,*,3.301,54176.5,72.0,36.0,1.5639327448602443e+38,,1.5639327448602446e+32
J1821-1419,275.3929,17.0,-14.324,9.0,0.603861245,3.0,-3.26e-13,9.0,*,0.0,*,6.129,53074.0,225.0,*,3.239041936680665e+39,,*
J1821-1419,275.3929,17.0,-14.324,9.0,0.603861245,3.0,-3.26e-13,9.0,*,0.0,*,6.129,57372.0,109.0,*,1.569135871547522e+39,,*
J1821-1419,275.3929,17.0,-14.324,9.0,0.603861245,3.0,-3.26e-13,9.0,*,0.0,*,6.129,58860.0,222.4,0.92,3.2016130076345774e+39,,3.86977572227136e+35
J1821-1419,275.3929,17.0,-14.324,9.0,0.603861245,3.0,-3.26e-13,9.0,*,0.0,*,6.129,59586.0,34.0,1.0,4.894552259873005e+38,,8.320738841784108e+33
J1824-1118,276.12308,4.0,-11.31184,14.0,2.294846288,9.0,-1.87e-14,7.0,4e-27,132.0,*,6.003,54306.0,2877.0,-10.0,5.9814544659893895e+41,,-8.604322249325737e+37
J1825-0935,276.377475,9.0,-9.58922,6.0,1.30035461,1.0,-8.85e-14,3.0,2.86e-24,6.0,*,0.3,49942.1,2.8,-2.0,1.8691380193931043e+38,,-1.308396613575173e+32
J1825-0935,276.377475,9.0,-9.58922,6.0,1.30035461,1.0,-8.85e-14,3.0,2.86e-24,6.0,*,0.3,50314.0,1.3,0.0,8.678140804325129e+37,,*
J1825-0935,276.377475,9.0,-9.58922,6.0,1.30035461,1.0,-8.85e-14,3.0,2.86e-24,6.0,*,0.3,52056.0,29.8,3.4,1.9892968920683758e+39,,8.71780108582906e+33
J1825-0935,276.377475,9.0,-9.58922,6.0,1.30035461,1.0,-8.85e-14,3.0,2.86e-24,6.0,*,0.3,52810.0,1.3,-2.0,8.678140804325129e+37,,-2.8203957614056675e+31
J1825-0935,276.377475,9.0,-9.58922,6.0,1.30035461,1.0,-8.85e-14,3.0,2.86e-24,6.0,*,0.3,53734.6,4.0,-6.0,2.6701971705615777e+38,,-8.900657235205259e+31
J1825-0935,276.377475,9.0,-9.58922,6.0,1.30035461,1.0,-8.85e-14,3.0,2.86e-24,6.0,*,0.3,54114.96,121.0,-4.0,8.077346440948773e+39,,-1.221698649193502e+35
J1825-0935,276.377475,9.0,-9.58922,6.0,1.30035461,1.0,-8.85e-14,3.0,2.86e-24,6.0,*,0.3,58486.2,3.8,*,2.536687312033499e+38,,*
J1826-1334,276.554896,13.0,-13.57967,3.0,9.853498751,2.0,-7.31e-12,9.0,2.81e-22,9.0,*,3.606,46507.0,2746.0,1.7,1.0525462816916246e+43,,8.500859086838825e+39
J1826-1334,276.554896,13.0,-13.57967,3.0,9.853498751,2.0,-7.31e-12,9.0,2.81e-22,9.0,*,3.606,49120.0,2984.6,7.6,1.1440020511059077e+43,,2.246308237980719e+39
J1826-1334,276.554896,13.0,-13.57967,3.0,9.853498751,2.0,-7.31e-12,9.0,2.81e-22,9.0,*,3.606,53206.0,0.6,-1.0,2.2998097924798787e+39,,-6.899429377439637e+32
J1826-1334,276.554896,13.0,-13.57967,3.0,9.853498751,2.0,-7.31e-12,9.0,2.81e-22,9.0,*,3.606,53259.0,3.0,-1.0,1.1499048962399394e+40,,-1.7248573443599095e+34
J1826-1334,276.554896,13.0,-13.57967,3.0,9.853498751,2.0,-7.31e-12,9.0,2.81e-22,9.0,*,3.606,53737.0,3581.0,9.6,1.372603144478408e+43,,2.5600478439464478e+39
J1826-1334,276.554896,13.0,-13.57967,3.0,9.853498751,2.0,-7.31e-12,9.0,2.81e-22,9.0,*,3.606,56556.0,2599.7,10.1,9.964692529183233e+42,,1.2824361964414678e+39
J1826-1334,276.554896,13.0,-13.57967,3.0,9.853498751,2.0,-7.31e-12,9.0,2.81e-22,9.0,*,3.606,58879.0,2481.5,5.9,9.5116300000647e+42,,2.000263546200047e+39
J1827-0958,276.77283,6.0,-9.97864,20.0,4.069058132,3.0,-1.66e-14,17.0,-5.7e-26,4.0,*,5.034,48764.0,0.4,*,2.61461360578528e+38,,*
J1830-1059,277.698,5.0,-10.9907,3.0,2.468690007,5.0,-3.65e-13,10.0,1.67e-24,19.0,*,3.147,55040.9,6.3,*,1.515770338597777e+39,,*
J1830-1135,277.5072,3.0,-11.5922,17.0,0.160731582,4.0,-1.23e-15,13.0,7e-26,300.0,*,3.757,52367.0,2.1,1.0,2.1418126042103532e+36,,2.248903234420871e+30
J1832+0029,278.2113,13.0,0.491,5.0,1.872947718,1.0,-5.45e-15,1.0,*,0.0,*,1.12,53498.0,66.0,53.0,9.140184899739333e+39,,5.691058522479208e+33
J1833-0827,278.417783,13.0,-8.4588,5.0,11.72495808,4.0,-1.26e-12,8.0,-1.98e-24,13.0,*,4.5,47541.3,0.9,-0.1,4.884553193406686e+39,,-2.1980489370330094e+34
J1833-0827,278.417783,13.0,-8.4588,5.0,11.72495808,4.0,-1.26e-12,8.0,-1.98e-24,13.0,*,4.5,48051.0,1865.6,1.742,1.0125136041799459e+43,,5.42177204350777e+39
J1833-0827,278.417783,13.0,-8.4588,5.0,11.72495808,4.0,-1.26e-12,8.0,-1.98e-24,13.0,*,4.5,54779.0,0.5,0.15,2.7136406630037146e+39,,4.522734438339525e+33
J1833-1034,278.38988,9.0,-10.56875,9.0,16.15935711,3.0,-5.28e-11,1.0,3.2e-22,1.0,*,4.1,54169.0,3.1,1.4,3.195726381183425e+40,,3.5381256363102216e+34
J1833-1034,278.38988,9.0,-10.56875,9.0,16.15935711,3.0,-5.28e-11,1.0,3.2e-22,1.0,*,4.1,54423.0,1.1,4.0,1.1339674255812152e+40,,1.5592052101741713e+33
J1833-1034,278.38988,9.0,-10.56875,9.0,16.15935711,3.0,-5.28e-11,1.0,3.2e-22,1.0,*,4.1,54750.0,3.6,-7.7,3.7111661200839775e+40,,-8.675453267728778e+33
J1833-1034,278.38988,9.0,-10.56875,9.0,16.15935711,3.0,-5.28e-11,1.0,3.2e-22,1.0,*,4.1,55142.0,7.5,-9.9,7.731596083508286e+40,,-2.9286348801167747e+34
